Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
Aditya Birla SL India GenNext Fund(G),Chanchal Khandelwal,EQ-CONS,3,5891.5,1.85,Open Ended,05-Aug-05,Nifty India Consumption - TRI,215.03,236.16,174.57,-0.4,-9.18,2.08,17.92,22.44,16.41,18.44,15.32,18,80,144198,66.78,15.93,16.68,FMCG,1.75,4.84,7.23,9.85,1.14,1.91,0.72,11.88,Equity : Thematic - Consumption,1% on or before 30D Nil after 30D
Aditya Birla SL Infrastructure Fund(G),Mahesh Patil,EQ-INFRA,4,1187.6,2.25,Open Ended,17-Mar-06,Nifty Infrastructure - TRI,95.37,102.31,76.25,-1.13,-7.17,-3.88,24.07,33.59,25.39,25.62,13.73,49,64,61544,39.59,19.43,36.52,Capital Goods,3.37,3.5,6.96,14.67,1.06,1.48,1.07,18.95,Equity : Sectoral - Infrastructure,1% on or before 30D Nil after 30D
Aditya Birla SL Intl. Equity Fund(G),Dhaval Joshi,EQ-INTL,Unrated,187.7,2.54,Open Ended,31-Oct-07,S&P Global 1200,34.63,36.1,31.36,-2.59,-3.37,7.13,7.24,7.91,4.46,7.97,7.82,81,74,120980,86.88,16.37,23.47,Financials,5.02,0.07,7.57,2.92,0.37,0.61,0.12,9.45,Equity : International,1% on or before 30D Nil after 30D
Aditya Birla SL Inv Inc-QS I-Reg(G),Mohit Sharma,DT-FMP,Unrated,28.3,0.06,Interval,30-Aug-07,CRISIL Liquid Debt Index,32.9,32.9,30.65,0.62,1.75,3.49,7.36,7.27,6.77,5.46,6.16,0,61,58766,5.81,9.67,22.85,Financials,0.11,8.15,7.43,3.25,11.11,23.54,0.01,0.3,Debt : FTP/FMP,Nil
Aditya Birla SL Liquid Fund(G),Kaustubh Gupta,DT-LIQ,3,39882.7,0.34,Open Ended,30-Mar-04,Nifty Liquid Fund Index,406.73,406.73,378.97,0.59,1.74,3.54,7.35,7.19,6.41,5.34,6.35,0,77,125647,18.77,86.56,3.17,Energy,0.12,0.12,7.18,0.76,9.85,5.44,2.32,0.08,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL after 7D
Aditya Birla SL Long Duration Fund-Reg(G),Harshil Suvarnkar,DT-LD,Unrated,154.9,1.09,Open Ended,08-Aug-22,NIFTY Long Duration Debt Index,12.26,12.31,11.06,0.4,0.23,4.27,10.57,8.78,16.56,5.03,6.83,0,31,538945,63.36,32.11,2.23,Financials,28.36,10.8,7.2,1.79,2.33,4.19,1.44,2.6,Debt : Long Duration,Nil
Aditya Birla SL Low Duration Fund(G),Kaustubh Gupta,DT-LOWD,3,11710.6,1.23,Open Ended,14-May-98,NIFTY Low Duration Debt Index,632.5,632.5,590.76,0.58,1.67,3.46,7.09,6.9,6.03,5.84,6.74,0,51,182651,48.55,39.72,3.08,Financials,1.25,0.94,7.66,2.8,9.02,18.57,0.08,0.33,Debt : Low Duration,Nil
Aditya Birla SL Medium Term Plan-Reg(G),Sunaina da Cunha,DT-MD,2,2004,1.58,Open Ended,25-Mar-09,CRISIL Medium Duration Debt Index,37.2,37.2,33.62,0.51,3,5.99,10.5,8.66,13.79,11.26,8.38,0,1,225318,45.12,17.36,35.07,Financials,4.71,3.64,7.77,4.36,2.84,9.5,0.62,2.19,Debt : Medium Duration,Nil upto 15% of units For remaining units 2% on or before 1Y 1 % after 1Y but on or before 2Y Nil after 2Y
Aditya Birla SL Mfg. Equity Fund-Reg(G),Harish krishnan,EQ-CONS,4,1197.5,2.24,Open Ended,03-Feb-15,BSE India Manufacturing Index - TRI,32.93,35.02,25.61,-0.03,-6.94,2.26,25.74,29.54,18.48,20.44,14.29,32,67,65318,42.19,21.35,35.07,Automobile and Ancillaries,15.18,9.87,7.04,16.18,1.28,1.88,0.94,16.29,Equity : Thematic - Consumption,1% on or before 90D Nil after 90D
Aditya Birla SL Midcap Fund(G),Vishal Gajwani,EQ-MID,2,5930,1.87,Open Ended,03-Oct-02,Nifty Midcap 150 - TRI,783.11,842.23,609.63,-0.2,-8.34,1.24,21.79,31.3,17.91,22.8,14.35,31,83,45990,9.14,66.62,21.86,Financials,0.06,5.74,6.68,13.26,1.12,1.66,0.86,15.71,Equity : Mid Cap,1% on or before 90D Nil after 90D
Aditya Birla SL MNC Fund-Reg(G),Chanchal Khandelwal,EQ-MNC,Unrated,3889.1,2,Open Ended,27-Dec-99,NIFTY MNC - TRI,1353.05,1477.27,1104.76,-1.34,-8.41,-2.81,17.23,20.27,11.28,11.44,10.34,15,65,43510,24.66,30.82,43.18,Automobile and Ancillaries,2.56,0.34,6.9,10.16,1.06,1.65,0.61,12.44,Equity : Thematic - MNC,1% on or before 90D Nil after 90D
Aditya Birla SL Money Manager Fund(G),Kaustubh Gupta,DT-MM,5,22772.2,0.35,Open Ended,13-Oct-05,CRISIL Money Market Index,356.04,356.04,330.55,0.64,1.79,3.7,7.73,7.58,6.67,6.09,6.92,0,30,254310,7.88,5.29,5.41,Financials,0.4,0.39,7.39,3.55,11.23,22.77,0.03,0.33,Debt : Money Market,Nil
Aditya Birla SL Multi Asset Allocation Fund-Reg(G),Dhaval Gala,HY-MULTI,Unrated,3695.4,1.85,Open Ended,31-Jan-23,BSE 200,13.87,14.45,11.79,-0.08,-3.57,2.45,16.2,5.69,14.78,4.27,14.98,0,53,156269,38.99,12.33,13.12,Financials,1.56,1.39,7.35,7.08,1.26,1.86,1.53,9.2,Hybrid : Multi Asset Allocation,1% on or before 365D Nil after 365D
Aditya Birla SL Multi-Cap Fund-Reg(G),Abhinav Khandelwal,EQ-MLC,Unrated,6297.6,1.83,Open Ended,07-May-21,Nifty500 Multicap 50:25:25 - TRI,19.77,20.72,15.69,-0.05,-5.61,1.83,22.54,25.92,16.71,14.8,6.93,43,74,89092,43.7,24.39,28.81,Financials,2.3,6.18,7.48,13.46,1.28,1.86,0.87,13.94,Equity : Multi Cap,1% on or before 90D Nil after 90D
Aditya Birla SL Multi-Index FoF-Reg(G),Vinod Narayan Bhat,FOF-DOM,Unrated,17.9,0.63,Open Ended,17-Oct-22,NIFTY 500 - TRI,15.03,15.73,12.59,-0.24,-4.19,0.67,18.13,21.6,12.57,11.22,12.46,0,61,211630,88.19,10.65,25.81,Financials,1,6.83,7.66,9.05,1.16,1.67,1.67,12,FoFs : Domestic,0.50% on or before 15D Nil after 15D
Aditya Birla SL NASDAQ 100 FOF-Reg(G),Dhaval Joshi,FOF-OVR,Unrated,406.5,0.62,Open Ended,01-Nov-21,Nasdaq-100 - TRI,14.83,15.22,11.12,3.07,10.14,10.71,29.08,41.36,13.56,8.23,7.29,32.2,60,217059,7.88,5.29,4.76,Financials,2.53,3.68,7.39,20.19,1.4,2.27,1.14,16.88,FoFs : Overseas,Nil
Aditya Birla SL Nifty 200 Momentum 30 ETF,Priya Sridhar,EQ-ETF,Unrated,71.4,0.32,Open Ended,12-Aug-22,Nifty200 Momentum 30 - TRI,33.87,38.55,27.64,-4.02,-12.83,-7.5,20.64,31.63,17.54,16.11,18.42,25,30,199233,86.88,12.88,15.86,Automobile and Ancillaries,2.39,2.11,7.15,11.49,0.8,1.18,1.24,22.12,Equity : ETFs,0.10% on or before 30D Nil after 30D
Aditya Birla SL Nifty 200 Quality 30 ETF,Priya Sridhar,EQ-ETF,Unrated,54.8,0.3,Open Ended,12-Aug-22,NIFTY200 Quality 30 - TRI,21.68,24,18.39,-2.1,-10.67,-0.02,14.05,23.52,6.39,19.73,13.92,0,30,211030,75.14,23.7,0.94,Technology,2.75,3.76,7.77,6.6,0.78,1.3,0.76,13.33,Equity : ETFs,1% on or before 1Y Nil after 1Y
Aditya Birla SL Nifty 50 Equal Weight Index Fund-Reg(G),Priya Sridhar,EQ-INDX,Unrated,342.4,1.02,Open Ended,08-Jun-21,NIFTY50 Equal Weight - TRI,16.9,18.92,14.8,-1.61,-11.73,-3.13,9.78,20.38,15.71,5.39,14.9,45,50,290187,95.9,3.65,3.72,Financials,29.73,10.12,7.2,1.69,0.46,0.7,0.96,14.34,Equity : Index Funds,Nil
Aditya Birla SL Nifty 50 ETF,Priya Sridhar,EQ-ETF,Unrated,2795.2,0.06,Open Ended,21-Jul-11,NIFTY 50 - TRI,27.79,30.07,24.15,-1.61,-7.82,-1.25,10.39,16.49,12.94,15.71,12.37,1,50,555831,98.61,1.24,3.32,Financials,4.99,3.83,6.9,1.94,0.5,0.76,0.99,13.96,Equity : ETFs,Nil
Aditya Birla SL Nifty 50 Index Fund-Reg(G),Priya Sridhar,EQ-INDX,3,975,0.47,Open Ended,18-Sep-02,NIFTY 50 - TRI,243.22,263.52,212.25,-1.65,-7.92,-1.46,9.9,15.9,12.3,15.04,11.42,12,50,555830,98.52,1.24,15.33,Financials,4.57,2.38,7.2,1.49,0.47,0.71,0.99,13.96,Equity : Index Funds,Nil
Aditya Birla SL Nifty Bank ETF,Priya Sridhar,EQ-ETF,Unrated,2694.6,0.17,Open Ended,23-Oct-19,NIFTY BANK - TRI,52.39,55.23,45.23,-1.94,-3.56,-2.71,6.58,10.04,14.01,10.09,11.6,46,12,538944,86.41,13.57,24.08,Financials,2.39,4.86,6.68,-1.69,0.22,0.32,1.08,17.36,Equity : ETFs,1% on or before 30D Nil after 30D
Aditya Birla SL Nifty Healthcare ETF,Priya Sridhar,EQ-ETF,Unrated,42,0.22,Open Ended,21-Oct-21,Nifty Healthcare Index - TRI,15.4,15.4,10.96,6.14,1.69,19.34,41.9,38.54,19.73,5.26,9.18,32.26,20,120198,54.9,39.52,5.38,Healthcare,1.14,3.86,5.27,30.49,2.29,4.26,0.46,14.33,Equity : ETFs,Nil
Aditya Birla SL Nifty India Defence Index Fund-Reg(G),Priya Sridhar,EQ-INDX,Unrated,408.7,1.06,Open Ended,30-Aug-24,Nifty India Defence - TRI,9.39,10.17,8.57,-2.72,-1.66,4.07,14.8,5.94,6.42,6.71,5.94,151,16,77293,41.41,35.51,22.76,Capital Goods,0.65,6.91,7.3,1.11,1.89,3.08,0.41,1.09,Equity : Index Funds,0.05% on or before 30D Nil after 30D
Aditya Birla SL Nifty IT ETF,Priya Sridhar,EQ-ETF,Unrated,52.2,0.21,Open Ended,29-Oct-21,NIFTY IT - TRI,46.51,48.24,33.71,0.5,2.72,18.31,23.3,26.07,6.36,9.77,9.85,0,10,429391,83.72,16.14,7.05,Technology,4.24,0.08,6.69,15.88,1.01,1.83,0.75,19.5,Equity : ETFs,Nil
Aditya Birla SL Nifty Midcap 150 Index Fund-Reg(G),Priya Sridhar,EQ-INDX,Unrated,298.1,1.01,Open Ended,05-Apr-21,Nifty Midcap 150 - TRI,23.65,24.82,18.74,1.52,-5.21,0.81,23.62,33.63,22.67,5.75,11.03,75,151,58755,6.43,86.6,6.76,Financials,2.97,0.56,7.45,14.79,1.12,1.61,0.96,17.51,Equity : Index Funds,0.25% on or before 15D Nil after 15D
Aditya Birla SL Nifty Next 50 ETF,Priya Sridhar,EQ-ETF,Unrated,63.2,0.17,Open Ended,18-Dec-18,NIFTY NEXT 50 - TRI,71.77,80.59,54.94,-3.31,-11.43,-5.09,28.75,28.61,18.61,20.04,14.18,13.6,50,143048,88.01,11.73,2.44,Financials,1.6,2.78,4.99,18.07,1.18,1.71,1.14,20.17,Equity : ETFs,Nil
Aditya Birla SL Nifty Next 50 Index Fund-Reg(G),Priya Sridhar,EQ-INDX,Unrated,167.1,0.88,Open Ended,18-Feb-22,NIFTY NEXT 50 - TRI,16.72,18.87,12.97,-3.71,-11.9,-5.78,26.95,27.09,6.39,4.84,13.58,5,50,143043,88.49,11.79,19.07,Financials,3.62,0.11,6.66,16.63,1.11,1.61,1.14,20.15,Equity : Index Funds,Nil
Aditya Birla SL Nifty PSE ETF,Priya Sridhar,EQ-ETF,Unrated,32.1,0.2,Open Ended,17-May-24,NIFTY PSE,9.79,11.73,9.47,-5.53,-14.62,-10.1,7.63,7.72,10.88,45.15,11.41,5.42,20,195664,82.4,16.83,15.4,Energy,3.4,1.21,6.67,2.52,4.51,8.77,0.99,0.77,Equity : ETFs,0.25% on or before 7D Nil after 7D
Aditya Birla SL Nifty SDL Apr 2027 Index Fund-Reg(G),Bhupesh Bameta,DT-M&LD,Unrated,4168,0.5,Open Ended,28-Jan-22,Nifty SDL Apr 2027 Index,11.8,11.8,10.94,0.54,1.46,3.78,7.92,7.3,26.47,18.58,6.55,0,30,211630,47.72,18.82,36.47,Financials,2,1.81,7.02,3.07,5.82,13.61,0.23,0.64,Debt : Medium to Long Duration,Nil
Aditya Birla SL Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund-Reg(G),Mohit Sharma,DT-M&LD,Unrated,9654.4,0.36,Open Ended,24-Sep-21,Nifty SDL Plus PSU Bond Sep 2026 60:40 Index,11.84,11.84,11,0.56,1.6,3.76,7.71,7.27,5.51,5.19,7.28,0,167,50745,58.24,5.82,24.19,Healthcare,1.58,1.42,7.25,3.07,6.89,16.28,0.18,0.52,Debt : Medium to Long Duration,Nil
Aditya Birla SL Nifty SDL Sep 2025 Index Fund-Reg(G),Bhupesh Bameta,DT-MD,Unrated,66.9,0.35,Open Ended,28-Sep-22,Nifty SDL Sep 2025 Index,11.71,11.71,10.91,0.55,1.53,3.51,7.39,7.11,20.79,28.56,13.64,0,50,14049,39.14,1.25,18.04,Financials,0.6,0.56,6.9,3.07,8.07,18.6,0.07,0.41,Debt : Medium Duration,Nil
Aditya Birla SL Nifty SDL Sep 2027 Index Fund-Reg(G),Harshil Suvarnkar,DT-MD,Unrated,40.5,0.5,Open Ended,10-Mar-23,Nifty SDL Sep 2027 Index,11.5,11.5,10.63,0.56,1.45,3.9,8.22,32.43,11.68,24.44,6.03,0,62,45038,91.13,29.36,6.77,Capital Goods,2.63,2.34,6.99,3.02,4.82,10.58,0.33,0.83,Debt : Medium Duration,Nil
Aditya Birla SL Nifty Smallcap 50 Index Fund-Reg(G),Priya Sridhar,EQ-INDX,Unrated,239.3,1.01,Open Ended,05-Apr-21,Nifty Smallcap 50 - TRI,21.65,22.62,15.88,0.15,-3.06,3.27,24.67,42.36,18.51,6.45,12.36,503,50,24440,42.55,15.06,84.84,Financials,0.01,0.34,7.72,15.9,1,1.47,1.04,21.08,Equity : Index Funds,0.25% on or before 15D Nil after 15D
Aditya Birla SL Overnight Fund-Reg(G),Kaustubh Gupta,DT-ON,4,8152.9,0.19,Open Ended,01-Nov-18,CRISIL Liquid Overnight Index,1350.31,1350.31,1266.86,0.55,1.6,3.23,6.61,6.59,5.93,4.82,7.48,0,40,332230,70.39,86.71,2.47,Financials,0.01,0.01,6.66,0.25,30.11,1.94,1.56,0.01,Debt : Overnight,Nil
Aditya Birla SL Pharma & Healthcare Fund-Reg(G),Dhaval Shah,EQ-PHRM,Unrated,854.3,2.29,Open Ended,10-Jul-19,BSE Health Care - TRI,32.34,32.74,24.14,4.38,-0.46,18.86,35.81,37.38,18.03,24.66,6.35,21,27,59685,35.72,37.65,24.45,Healthcare,0.01,2.87,7.35,26.26,2.29,4.19,0.41,12.36,Equity : Sectoral - Pharma,1% on or before 30D Nil after 30D
Aditya Birla SL PSU Equity Fund-Reg(G),Dhaval Gala,EQ-THEM,Unrated,5531.9,1.79,Open Ended,30-Dec-19,BSE PSU - TRI,31.97,37.55,27.78,-5.14,-12.65,-11,13.52,35.18,33.35,25.91,13.76,29,37,158503,65.15,21.23,8.79,Energy,0.01,1.88,6.98,6.27,0.51,0.69,1.4,26.18,Equity : Thematic,1% on or before 30D Nil after 30D
Aditya Birla SL Pure Value Fund(G),Kunal Sangoi,EQ-VAL,3,6377.8,1.87,Open Ended,27-Mar-08,NIFTY 500 - TRI,128.84,136.82,106.81,-0.39,-6.85,1.68,18.74,31.08,21.36,22.18,12.71,55,77,70642,43.85,14.49,40.59,Financials,0.4,4.51,7.82,10.23,0.88,1.22,1.08,17.9,Equity : Value / Contra,1% on or before 90D Nil after 90D
Aditya Birla SL Quant Fund-Reg(G),Harish krishnan,EQ-THEM,Unrated,2593.9,1.95,Open Ended,28-Jun-24,NIFTY 200 - TRI,9.73,10.71,9.19,0.95,-10.13,-4.3,9.31,7.67,17.88,5.2,11.27,12.51,44,106093,48.02,51.3,24.97,Energy,31.71,12.14,7.05,2.67,8.25,17.43,-0.23,13.13,Equity : Thematic,0.50% on or before 90D Nil after 90D
Aditya Birla SL Regular Savings Fund(G),Mohit Sharma,HY-DT(CO),3,1410.6,1.91,Open Ended,22-May-04,CRISIL Hybrid 85+15 - Conservative Index,64.11,64.43,57.58,0.15,0.21,4.14,10.51,10.1,8.55,9.55,8.44,140,38,205694,14.27,2.73,4.3,Financials,7.62,4.46,7.38,3.91,1.85,2.85,0.8,3.4,Hybrid : Debt Oriented (Conservative),1% on or before 90D Nil after 90D
Aditya Birla SL Retirement Fund-30-Reg(G),Jonas Bhutta,HY-SOL,3,401.3,2.41,Open Ended,11-Mar-19,NIFTY 500 - TRI,19.43,20.52,15.95,-0.86,-6.13,2.16,17.79,20.23,13.33,13.26,5.89,47,49,129674,53.46,18.44,24.97,Financials,20.93,1.38,7.77,6.98,0.98,1.4,2.32,14.1,Hybrid : Solution Oriented,Nil
Aditya Birla SL Retirement Fund-40-Reg(G),Chanchal Khandelwal,HY-SOL,Unrated,113,2.38,Open Ended,11-Mar-19,CRISIL Hybrid 35+65 - Aggressive Index,18.64,18.81,15.5,1.88,-1.48,5.31,17.51,18.83,12.36,12.31,9.18,29,45,166023,44.86,13.81,15.7,Financials,8.78,4.41,6.89,7.64,1.22,1.8,1.86,10.72,Hybrid : Solution Oriented,Nil
Aditya Birla SL Retirement Fund-50 Plus-Debt Plan-Reg(G),Harshil Suvarnkar,HY-SOL,Unrated,15.7,2.07,Open Ended,11-Mar-19,CRISIL Short Term Bond Index,12.75,12.76,12.02,0.38,0.93,3.03,6.08,5.59,4.04,4.05,15.71,0,50,555827,67.76,4.74,9.78,Financials,7.04,3.79,6.94,0.91,2.62,5.62,0.36,0.76,Hybrid : Solution Oriented,Nil
Aditya Birla SL Retirement Fund-50-Reg(G),Mohit Sharma,HY-SOL,Unrated,25.9,1.91,Open Ended,11-Mar-19,CRISIL Short Term Debt Hybrid 75+25 Index,14.09,14.18,12.82,0.02,-0.64,3.32,9.17,9.65,6.91,6.03,12.26,11,41,144731,14.85,4.05,5.65,Financials,3.69,2.77,6.88,2.44,1.4,2.07,0.87,3.61,Hybrid : Solution Oriented,Nil
Aditya Birla SL Savings Fund-Reg(G),Kaustubh Gupta,DT-USD,5,16348.8,0.55,Open Ended,16-Apr-03,NIFTY Ultra Short Duration Debt Index,527.59,527.59,489.44,0.71,1.95,3.83,7.81,7.5,6.59,6.12,7.19,0,58,193605,56.31,16.15,17.42,Energy,0.69,0.48,7.66,3.68,11.46,22.34,0.02,0.33,Debt : Ultra Short Duration,Nil
Aditya Birla SL Short Term Fund(G),Kaustubh Gupta,DT-SD,4,8598.7,1.01,Open Ended,09-May-03,Nifty Short Duration Debt Index,45.53,45.53,42.18,0.59,1.58,4.04,7.92,7.37,6.3,6.71,7.38,0,30,429500,88.23,25.09,5.09,Technology,3.72,2.84,7.65,2.6,5.09,10.33,0.39,0.74,Debt : Short Duration,Nil
Aditya Birla SL Silver ETF,Sachin Wankhede,GOLD-ETF,Unrated,485.1,0.35,Open Ended,31-Jan-22,Silver,88.24,99.86,70.48,-3.79,-4.5,-2.11,16.03,10.03,5.38,4.87,14.92,0,68,95560,8.02,12.79,4.76,Financials,0.85,0.05,7.35,12.22,0.62,1.07,0.71,22.99,Gold : ETFs,NIL upto 10% of investments and 1% for remaining investments on or before 12M Nil after 12M
Aditya Birla SL Silver ETF FOF-Reg(G),Priya Sridhar,FOF-DOM,Unrated,174,0.67,Open Ended,03-Feb-22,Silver,13.61,15.52,11.1,-3.44,-4.2,-2.17,15.15,11.08,17.44,22.86,13.06,69,89,83378,83.74,1.24,28.15,Financials,4.99,3.59,7.19,11.64,0.6,1.07,0.57,22.26,FoFs : Domestic,0.50% on or before 30D Nil after 30D
Aditya Birla SL Small Cap Fund(G),Abhinav Khandelwal,EQ-SML,1,5159.6,1.89,Open Ended,31-May-07,BSE 250 Small Cap - TRI,89.33,94.03,68.55,-0.15,-5.34,0.74,21.83,30.5,17.09,23.3,14.37,34,99,13818,0.41,11.74,83.3,Capital Goods,6.85,2.05,7.36,13.89,1.05,1.52,0.82,17.21,Equity : Small Cap,1% on or before 90D Nil after 90D
Aditya Birla SL Special Opp Fund-Reg(G),Dhaval Gala,EQ-THEM,Unrated,778.6,2.38,Open Ended,23-Oct-20,BSE 500 - TRI,24.02,25.56,19.38,-0.59,-6.55,2.6,21.81,24.13,15.35,5.83,6.86,26,64,108535,50.79,18.37,26.35,Financials,2.5,2.99,6.8,12.55,1.19,1.77,0.92,14.45,Equity : Thematic,1% on or before 30D Nil after 30D
Aditya Birla SL Transportation and Logistics Fund-Reg(G),Dhaval Gala,EQ-AUTO,Unrated,1567.7,2.07,Open Ended,17-Nov-23,Nifty Transportation & Logistics - TRI,13.97,16.02,10.88,-1.73,-13.54,-6.18,24.95,30.08,15.85,11.73,11.02,38,33,95148,65.99,9.56,21.39,Automobile and Ancillaries,1.05,1.75,7.74,15.5,1.21,1.87,0.93,16.73,Equity : Sectoral - Auto,1% on or before 365D Nil after 365D
Aditya Birla SL US Treasury 1-3 year Bond ETFs FoF-Reg(G),Vighnesh Gupta,DT-ETF,Unrated,85.2,0.23,Open Ended,31-Oct-23,Bloomberg US Treasury 1-3 Year Index,10.9,10.9,10.13,1.52,1.99,5.47,6.92,21.36,12.23,5.24,5.28,0,73,29085,72.41,4.63,3.38,Financials,1.94,1.85,4.24,2.39,1.14,2.17,0.14,2.48,Debt : ETFs,0.25% on or before 30D Nil after 30D
Aditya Birla SL US Treasury 3-10 year Bond ETFs FoF-Reg(G),Vighnesh Gupta,DT-ETF,Unrated,185.4,0.2,Open Ended,31-Oct-23,Bloomberg US Treasury 3-10 Year Index,10.98,11.13,10.23,0.34,-0.9,4.94,4.22,7.56,6.6,14.42,4.2,0,41,308142,83.33,18.69,4.57,Financials,5.75,5.06,4.16,-2.04,0.06,0.11,0.8,5.15,Debt : ETFs,0.25% on or before 30D Nil after 30D
Axis Aggressive Hybrid Fund-Reg(G),Jayesh Sundar,HY-EQ,3,1615.7,2.14,Open Ended,09-Aug-18,CRISIL Hybrid 35+65 - Aggressive Index,20.11,21.09,16.85,-1.05,-5.16,2.69,15.08,15.27,8.1,12.28,5.75,0,78,229957,52.87,8.54,12.54,Financials,14.87,6.43,7.53,5.49,1.01,1.52,1.79,10.53,Hybrid : Equity Oriented,Nil for 10% of investments and 1% for remaining investments on or before 12M Nil after 12M
Axis All Seasons Debt FOFs-Reg(G),Devang Shah,FOF-DOM,Unrated,141.5,0.48,Open Ended,28-Jan-20,NIFTY Composite Debt Index,13.74,13.78,12.62,0.33,0.28,3.98,8.8,7.64,6.25,4.58,7.53,30,38,143043,63.35,21.45,31.01,Financials,2.55,5.12,7.51,1.03,2.07,3.47,1.17,2.16,FoFs : Domestic,Nil for 10% of investment and 0.50% for remaining investment on or before 3M Nil after 3M
Axis Arbitrage Fund-Reg(G),Karthik Kumar,HY-ARB,3,5591.9,1,Open Ended,14-Aug-14,Nifty 50 Arbitrage,18.09,18.09,16.83,0.64,1.8,3.41,7.52,7.22,6.21,5.29,5.79,0,146,186113,49.3,17.04,5.93,Financials,0.44,0.43,7.41,3.55,3.46,8.08,-0.09,0.95,Hybrid : Arbitrage,0.25% on or before 15D Nil after 15D
Axis Balanced Advantage Fund-Reg(G),Jayesh Sundar,HY-DYN,2,2599.2,1.99,Open Ended,01-Aug-17,NIFTY 50 Hybrid Composite Debt 50:50 Index,20.51,20.97,17.11,-0.25,-2.59,3.78,18,19.27,12.4,12.49,13.78,0,85,307216,54.72,7.13,4.7,Financials,16.32,6.49,7.5,7.99,1.45,2.17,1.69,8.88,Hybrid : Dynamic Asset Allocation,Nil for 10% of investments and 1% for remaining investments on or before 12M Nil after 12M
Axis Banking & PSU Debt Fund-Reg(G),Aditya Pagaria,DT-B&PSU,3,13044.5,0.63,Open Ended,08-Jun-12,NIFTY Banking and PSU Debt Index,2521.38,2521.38,2345.55,0.53,1.52,3.9,7.49,7.02,5.92,6.11,7.27,0,20,133077,66.26,11.82,17.58,FMCG,3.59,2.76,7.35,2.67,5.9,12.28,0.24,0.57,Debt : Banking & PSU,Nil
Axis Bluechip Fund-Reg(G),Shreyash Devalkar,EQ-LC,3,33547.4,1.57,Open Ended,05-Jan-10,BSE 100 - TRI,59.52,64.04,50.3,-0.41,-6.87,-0.36,14.29,16.59,8.72,13.1,11.72,51,54,444025,85.44,4.31,6.77,Financials,2.98,3.87,7.58,5.64,0.78,1.23,0.89,12.95,Equity : Large Cap,Nil for 10% of investments and 1% for remaining investments on or before 12M Nil after 12M
Axis BSE Sensex ETF,Karthik Kumar,EQ-ETF,Unrated,128.9,0.07,Open Ended,24-Mar-23,BSE SENSEX - TRI,81.39,87.24,70.92,-1.62,-6.67,-0.81,9.77,27.67,6.21,16.85,6.77,56,30,684559,99.19,0.72,9.19,Financials,4.97,2.03,7.17,1.71,0.45,0.7,0.99,13.77,Equity : ETFs,0.50% on or before 7D Nil after 7D
Axis BSE Sensex Index Fund-Reg(G),Karthik Kumar,EQ-INDX,Unrated,46.8,0.7,Open Ended,27-Feb-24,BSE SENSEX - TRI,10.98,11.8,9.86,-1.68,-6.85,-1.15,35.81,8.17,4.64,11.12,15.45,30,30,684650,99.11,0.71,6.93,Financials,9.6,2.03,7.16,26.26,2.29,4.19,1.03,12.36,Equity : Index Funds,0.25% on or before 7D Nil after 7D
Axis Business Cycles Fund-Reg(G),Ashish Naik,EQ-THEM,Unrated,2611.7,1.97,Open Ended,22-Feb-23,NIFTY 500 - TRI,16.4,17.26,13.15,-0.31,-5.43,0.68,19.99,8.17,5.94,7.54,16.8,110,87,141178,59.31,15.03,22.86,Financials,0.3,3.81,7.8,10.81,1.01,1.45,0.96,15.38,Equity : Thematic,Nil for 10% of investment and 1% for remaining investments on or before 12M Nil after 12M
Axis Childrens Fund-Compulsory Lock in-Reg(G),Jayesh Sundar,HY-SOL,4,900.8,2.27,Open Ended,08-Dec-15,NIFTY 50 Hybrid Composite Debt 65:35 Index,25.63,26.64,21.53,-0.62,-4.2,3.43,14.7,14.58,6.83,12.18,7.42,0,71,193009,48.1,9.67,14.04,Financials,20.19,8.48,7.2,4.99,1,1.48,1.86,10.4,Hybrid : Solution Oriented,NIL
Axis Childrens Fund-No Lock in-Reg(G),Jayesh Sundar,HY-SOL,3,900.8,2.27,Open Ended,08-Dec-15,NIFTY 50 Hybrid Composite Debt 65:35 Index,25.63,26.64,21.53,-0.62,-4.2,3.43,14.7,14.58,6.83,12.18,16.13,0,71,193009,48.1,9.67,14.04,Financials,20.19,8.48,7.2,4.99,1,1.48,1.86,10.4,Hybrid : Solution Oriented,3% on or before 1Y 2% after 1Y but on or before 2Y 1% after 2Y but on or before 3Y Nil after 3Y
